Sample Name,Target Name,Ct,Concentration,Media
Glass-2-5,N,21.19818687,2,Glass Fiber Filter
Glass-2-5,S,21.32804489,2,Glass Fiber Filter
Glass-2-5,N,21.37448502,2,Glass Fiber Filter
Glass-2-5,S,21.49620628,2,Glass Fiber Filter
Glass-2-5,ORF1ab,21.92210388,2,Glass Fiber Filter
Glass-2-5,ORF1ab,22.07452583,2,Glass Fiber Filter
Cotton-2-3,N,Undetermined,2,Cotton
Cotton-2-3,N,Undetermined,2,Cotton
Cotton-2-3,ORF1ab,Undetermined,2,Cotton
Cotton-2-3,ORF1ab,Undetermined,2,Cotton
FTA-3-5,ORF1ab,17.19262505,3,FTA Card
FTA-3-4,ORF1ab,17.59660912,3,FTA Card
Flock-3-2,N,17.9047966,3,Flocked Swab
Flock-3-2,ORF1ab,17.94174004,3,Flocked Swab
FTA-3-5,N,17.95635986,3,FTA Card
FTA-3-4,N,18.3725605,3,FTA Card
Flock-3-2,ORF1ab,18.49458885,3,Flocked Swab
Flock-3-2,N,18.49642372,3,Flocked Swab
FTA-3-4,ORF1ab,19.20224762,3,FTA Card
FTA-3-5,ORF1ab,19.56542587,3,FTA Card
Flock-3-3,ORF1ab,19.57063293,3,Flocked Swab
FTA-3-1,N,19.70179939,3,FTA Card
FTA-3-1,ORF1ab,19.71115494,3,FTA Card
FTA-3-5,S,19.79086685,3,FTA Card
FTA-3-4,N,19.9682827,3,FTA Card
Cotton-3-5,ORF1ab,19.98698425,3,Cotton
FTA-3-4,S,19.99601555,3,FTA Card
Cotton-3-5,N,20.03363419,3,Cotton
Flock-3-2,S,20.16144753,3,Flocked Swab
FTA-3-3,ORF1ab,20.24652672,3,FTA Card
FTA-3-1,N,20.26427841,3,FTA Card
FTA-3-1,ORF1ab,20.2843895,3,FTA Card
FTA-3-5,N,20.39850998,3,FTA Card
FTA-3-2,ORF1ab,20.54769516,3,FTA Card
FTA-3-2,N,20.5505352,3,FTA Card
FTA-3-3,N,20.74074364,3,FTA Card
FTA-3-3,N,20.75542068,3,FTA Card
RV-3,N,20.76570511,3,Viral Supernatant
FTA-3-2,ORF1ab,20.79642105,3,FTA Card
FTA-3-3,ORF1ab,20.85229492,3,FTA Card
RV-3,S,20.87746048,3,Viral Supernatant
FTA-3-2,N,20.98379517,3,FTA Card
FTA-3-4,S,21.00755692,3,FTA Card
Cotton-3-2,N,21.01708412,3,Cotton
Flock-3-2,S,21.02714539,3,Flocked Swab
RV-3,N,21.04240036,3,Viral Supernatant
RV-3,S,21.13165474,3,Viral Supernatant
Flock-3-4,N,21.17054939,3,Flocked Swab
FTA-3-5,S,21.27903557,3,FTA Card
FTA-3-1,S,21.3864975,3,FTA Card
ACM-3-1,N,21.40953827,3,ACM
Cotton-3-2,S,21.45341873,3,Cotton
